,x2,y2
174,0.74,1.7851117756744628
175,0.75,1.695328897792829
176,0.76,1.5979230045932673
177,0.77,1.4936425810949192
178,0.78,1.3834228822387196
179,0.79,1.26838629368291
180,0.8,1.1498520701310047
181,0.81,1.0293225180246466
182,0.82,0.908455608102084
183,0.83,0.7890426122357219
184,0.84,0.6729673734441027
185,0.85,0.5621305962772124
186,0.86,0.4584008107026918
187,0.87,0.3635042178008287
188,0.88,0.27893839284532235
189,0.89,0.20584386852367906
190,0.9,0.14493241089902703
191,0.91,0.09634181689713456
192,0.92,0.05962711266726474
193,0.93,0.03372500177894981
194,0.94,0.01696722663978585
195,0.95,0.00734700316125439
196,0.96,0.0026092999002096055
197,0.97,0.0007691758571890778
198,0.98,0.0003512478463685928
199,0.99,0.00017381825814442216
200,1.0,0.0
